date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,windspeed_10m_max,temp_anomaly,water_balance,cumulative_water_balance,aridity_index,temp_rolling_12m,precip_rolling_12m,SPI_12_z,SPEI_12_z
2005-08-01,24.64516129032258,29.95483870967742,19.503225806451614,3.7,170.25,741.49,18.432258064516127,7.167424353779332,-166.55,-2856.080000000001,44.80263157894736,17.055623399897595,500.7,-0.9203317392116307,-0.5802692312597816
2005-09-01,21.90666666666667,27.013333333333332,17.42,20.1,125.87,580.5,18.91,4.428929730123421,-105.77000000000001,-2961.850000000001,6.231188118811881,16.887845622119816,516.8,-0.7856748522241238,-0.40243693492453236
2005-10-01,19.35483870967742,24.480645161290322,15.47741935483871,37.6,93.92,444.9,16.738709677419354,1.8771017731341715,-56.32,-3018.170000000001,2.4912466843501324,16.7590821812596,518.0,-0.7756383140635639,-0.29943904383443226
2005-11-01,13.65,17.783333333333335,10.41,89.6,56.05,291.31,18.276666666666664,-3.827736936543248,33.55,-2984.620000000001,0.6248606465997771,16.830193292370712,538.9,-0.6008352744338187,-0.20529253400988873
2005-12-01,10.46774193548387,14.35483870967742,7.270967741935484,80.1,46.44,269.71,18.14516129032258,-7.009995001059378,33.66,-2950.960000000001,0.5790523690773068,16.746591141833076,491.9,-0.9939330190557342,-0.49299337402598326
2006-01-01,9.383870967741935,13.151612903225805,6.338709677419355,78.4,45.77,271.33,17.616129032258065,-8.093865968801314,32.63,-2918.330000000001,0.5830573248407643,16.883419098822326,492.6,-0.9880783717954074,-0.49398373836338855
2006-02-01,9.739285714285714,14.175,6.45,95.3,55.66,352.12,19.039285714285715,-7.738451222257535,39.64,-2878.690000000001,0.5834381551362684,17.016454813108037,490.6,-1.0048059353963399,-0.5193618245093867
2006-03-01,13.229032258064517,17.799999999999997,8.983870967741936,22.7,97.31,579.67,21.883870967741935,-4.248704678478731,-74.61,-2953.300000000001,4.267982456140351,17.114573092677933,453.5,-1.3151022401936392,-0.8416016207924734
2006-04-01,16.7,21.759999999999998,11.96,37.3,120.9,670.68,18.736666666666668,-0.7777369365432492,-83.60000000000001,-3036.900000000001,3.2326203208556152,17.264295314900156,468.6,-1.1888091350065981,-0.8045248559108817
2006-05-01,20.200000000000003,24.983870967741936,15.706451612903225,76.8,137.93,728.53,19.61935483870968,2.7222630634567544,-61.13000000000001,-3098.030000000001,1.7936280884265283,17.34574692780338,542.1,-0.5740711726723262,-0.24503090304825617
2006-06-01,23.183333333333334,28.529999999999998,17.64333333333333,2.1,177.97,768.64,19.34333333333333,5.705596396790085,-175.87,-3273.900000000001,80.89545454545454,17.34074692780338,544.1999999999999,-0.5565072308913478,-0.2404504679877596
2006-07-01,26.503225806451614,32.3741935483871,20.287096774193547,0.0,198.16,842.12,17.483870967741936,9.025488869908365,-198.16,-3472.060000000001,1981.6,17.413596390168973,543.6999999999999,-0.5606891217915809,-0.24806389383155844
2006-08-01,25.225806451612904,30.55806451612903,20.216129032258067,1.9,177.09,760.77,19.741935483870968,7.7480695150696555,-175.19,-3647.250000000001,88.545,17.461983486943165,541.9000000000001,-0.5757439290324189,-0.30154356805141697
